epoch_idx,roi,theta_power,participant_id,condition,task
54,other,0.242940388057738,sub-01,NS,eyesclosed
55,other,0.310900844342279,sub-01,NS,eyesclosed
56,other,0.2084703125141678,sub-01,NS,eyesclosed
57,other,0.15186665996544943,sub-01,NS,eyesclosed
58,other,0.13930048380420637,sub-01,NS,eyesclosed
59,other,0.11737092108439885,sub-01,NS,eyesclosed
60,other,0.18471332860041412,sub-01,NS,eyesclosed
61,other,0.20318405749282117,sub-01,NS,eyesclosed
62,other,0.11494848870934742,sub-01,NS,eyesclosed
63,other,0.13138145337648555,sub-01,NS,eyesclosed
64,other,0.3280259853680447,sub-01,NS,eyesclosed
65,other,0.1635859236145258,sub-01,NS,eyesclosed
66,other,0.12121158157625678,sub-01,NS,eyesclosed
67,other,0.2770993553098937,sub-01,NS,eyesclosed
68,other,0.11147335507138686,sub-01,NS,eyesclosed
69,other,0.09873288617337067,sub-01,NS,eyesclosed
70,other,0.0720145014050431,sub-01,NS,eyesclosed
71,other,0.20117315149429435,sub-01,NS,eyesclosed
72,other,0.18916030796424016,sub-01,NS,eyesclosed
73,other,0.0880633518090012,sub-01,NS,eyesclosed
74,other,0.1067688382260657,sub-01,NS,eyesclosed
0,frontal,0.30073761913943725,sub-01,NS,eyesopen
1,frontal,0.219824228852791,sub-01,NS,eyesopen
2,frontal,0.27922152466170025,sub-01,NS,eyesopen
3,frontal,0.18321314471293212,sub-01,NS,eyesopen
4,frontal,0.2483609359891287,sub-01,NS,eyesopen
5,frontal,0.16124865992968637,sub-01,NS,eyesopen
6,frontal,0.17866700938775212,sub-01,NS,eyesopen
7,frontal,0.12421789214266613,sub-01,NS,eyesopen
8,frontal,0.3935723587350739,sub-01,NS,eyesopen
9,frontal,0.20084826139930007,sub-01,NS,eyesopen
10,frontal,0.20484058209368677,sub-01,NS,eyesopen
11,frontal,0.294210184142581,sub-01,NS,eyesopen
12,frontal,0.3118663843743859,sub-01,NS,eyesopen
13,frontal,0.3314356902340452,sub-01,NS,eyesopen
14,frontal,0.13657009255954736,sub-01,NS,eyesopen
15,frontal,0.31043228078576834,sub-01,NS,eyesopen
16,frontal,0.19138947327237224,sub-01,NS,eyesopen
17,frontal,0.1458761723431312,sub-01,NS,eyesopen
18,frontal,0.20259196316439046,sub-01,NS,eyesopen
19,frontal,0.2734033770706923,sub-01,NS,eyesopen
20,frontal,0.3124941032757749,sub-01,NS,eyesopen
21,frontal,0.382296597140659,sub-01,NS,eyesopen
22,frontal,0.14958152851475515,sub-01,NS,eyesopen
23,frontal,0.2809353401537294,sub-01,NS,eyesopen
24,frontal,0.36987119772948635,sub-01,NS,eyesopen
25,frontal,0.3136338515947358,sub-01,NS,eyesopen
26,frontal,0.16739195051948252,sub-01,NS,eyesopen
27,frontal,0.22655270754295997,sub-01,NS,eyesopen
28,frontal,0.17941266757902025,sub-01,NS,eyesopen
29,frontal,0.22372125159383743,sub-01,NS,eyesopen
30,frontal,0.16098847316440673,sub-01,NS,eyesopen
31,frontal,0.21728371691845655,sub-01,NS,eyesopen
32,frontal,0.3022498711023072,sub-01,NS,eyesopen
33,frontal,0.3047911866709794,sub-01,NS,eyesopen
34,frontal,0.23502951961141422,sub-01,NS,eyesopen
35,frontal,0.4947752663441737,sub-01,NS,eyesopen
36,frontal,0.40838139981542243,sub-01,NS,eyesopen
37,frontal,0.24392064588641443,sub-01,NS,eyesopen
38,frontal,0.1768015321141463,sub-01,NS,eyesopen
39,frontal,0.4055092606207546,sub-01,NS,eyesopen
40,frontal,0.23794679582055378,sub-01,NS,eyesopen
41,frontal,0.3252751526140811,sub-01,NS,eyesopen
42,frontal,0.4322194377426658,sub-01,NS,eyesopen
43,frontal,0.2859192145027289,sub-01,NS,eyesopen
44,frontal,0.2594284791347925,sub-01,NS,eyesopen
45,frontal,0.25246752464100464,sub-01,NS,eyesopen
46,frontal,0.21157368951078356,sub-01,NS,eyesopen
47,frontal,0.20317340144390392,sub-01,NS,eyesopen
48,frontal,0.2545646877909466,sub-01,NS,eyesopen
49,frontal,0.3868384952248727,sub-01,NS,eyesopen
50,frontal,0.38440925686156374,sub-01,NS,eyesopen
51,frontal,0.2941263251130878,sub-01,NS,eyesopen
52,frontal,0.29882490595782973,sub-01,NS,eyesopen
53,frontal,0.3217752708530384,sub-01,NS,eyesopen
54,frontal,0.20367570872303978,sub-01,NS,eyesopen
55,frontal,0.2630580261371226,sub-01,NS,eyesopen
56,frontal,0.28764988603360886,sub-01,NS,eyesopen
57,frontal,0.25058117256070156,sub-01,NS,eyesopen
58,frontal,0.3241917829445765,sub-01,NS,eyesopen
59,frontal,0.34782294725451746,sub-01,NS,eyesopen
60,frontal,0.22399498228683612,sub-01,NS,eyesopen
61,frontal,0.3151082154767355,sub-01,NS,eyesopen
62,frontal,0.3326938755851428,sub-01,NS,eyesopen
63,frontal,0.2296046372382997,sub-01,NS,eyesopen
64,frontal,0.1681108678821563,sub-01,NS,eyesopen
65,frontal,0.28678062949836086,sub-01,NS,eyesopen
66,frontal,0.2607975953716261,sub-01,NS,eyesopen
67,frontal,0.35340136617676055,sub-01,NS,eyesopen
68,frontal,0.31220527132667136,sub-01,NS,eyesopen
69,frontal,0.296042746515284,sub-01,NS,eyesopen
70,frontal,0.2468398661295797,sub-01,NS,eyesopen
71,frontal,0.286262474837661,sub-01,NS,eyesopen
72,frontal,0.2528411028986427,sub-01,NS,eyesopen
73,frontal,0.2046617104098539,sub-01,NS,eyesopen
74,frontal,0.2803326341216324,sub-01,NS,eyesopen
0,centro_temporal,0.2164111695274101,sub-01,NS,eyesopen
1,centro_temporal,0.21696839289784853,sub-01,NS,eyesopen
2,centro_temporal,0.25881632318372844,sub-01,NS,eyesopen
3,centro_temporal,0.20972497328880155,sub-01,NS,eyesopen
4,centro_temporal,0.2669091395869612,sub-01,NS,eyesopen
5,centro_temporal,0.24855887274055966,sub-01,NS,eyesopen
6,centro_temporal,0.19212742669561392,sub-01,NS,eyesopen
7,centro_temporal,0.15118966598756617,sub-01,NS,eyesopen
8,centro_temporal,0.22435644079921765,sub-01,NS,eyesopen
9,centro_temporal,0.1717748648833463,sub-01,NS,eyesopen
10,centro_temporal,0.19470312416429675,sub-01,NS,eyesopen
11,centro_temporal,0.18605100530375832,sub-01,NS,eyesopen
12,centro_temporal,0.25181587056251514,sub-01,NS,eyesopen
13,centro_temporal,0.20778077943231868,sub-01,NS,eyesopen
14,centro_temporal,0.12474647643545399,sub-01,NS,eyesopen
15,centro_temporal,0.19673042740767038,sub-01,NS,eyesopen
16,centro_temporal,0.10571275227274272,sub-01,NS,eyesopen
17,centro_temporal,0.12470010423289044,sub-01,NS,eyesopen
18,centro_temporal,0.14545748989317017,sub-01,NS,eyesopen
19,centro_temporal,0.19246341902100944,sub-01,NS,eyesopen
20,centro_temporal,0.19148539047157964,sub-01,NS,eyesopen
21,centro_temporal,0.21152999301933556,sub-01,NS,eyesopen
22,centro_temporal,0.12325410786076267,sub-01,NS,eyesopen
23,centro_temporal,0.19273598493351343,sub-01,NS,eyesopen
24,centro_temporal,0.27035410671792814,sub-01,NS,eyesopen
25,centro_temporal,0.17547256653663826,sub-01,NS,eyesopen
26,centro_temporal,0.10640724290609357,sub-01,NS,eyesopen
27,centro_temporal,0.15366416737217753,sub-01,NS,eyesopen
28,centro_temporal,0.14723579075303167,sub-01,NS,eyesopen
29,centro_temporal,0.17952613430530362,sub-01,NS,eyesopen
30,centro_temporal,0.18105328395950473,sub-01,NS,eyesopen
31,centro_temporal,0.15594334722637124,sub-01,NS,eyesopen
32,centro_temporal,0.19803729383262333,sub-01,NS,eyesopen
33,centro_temporal,0.16486843545148416,sub-01,NS,eyesopen
34,centro_temporal,0.15981278985330144,sub-01,NS,eyesopen
35,centro_temporal,0.29520076181893273,sub-01,NS,eyesopen
36,centro_temporal,0.2756786839439611,sub-01,NS,eyesopen
37,centro_temporal,0.14541878636746658,sub-01,NS,eyesopen
38,centro_temporal,0.1417983118648727,sub-01,NS,eyesopen
39,centro_temporal,0.2528841146428732,sub-01,NS,eyesopen
40,centro_temporal,0.19292182197938687,sub-01,NS,eyesopen
41,centro_temporal,0.21852621488654228,sub-01,NS,eyesopen
42,centro_temporal,0.2332106410478901,sub-01,NS,eyesopen
43,centro_temporal,0.21841891918069575,sub-01,NS,eyesopen
44,centro_temporal,0.21778664625065683,sub-01,NS,eyesopen
45,centro_temporal,0.15739358713881427,sub-01,NS,eyesopen
46,centro_temporal,0.17511106226064696,sub-01,NS,eyesopen
47,centro_temporal,0.17495897599993973,sub-01,NS,eyesopen
48,centro_temporal,0.22694029737856,sub-01,NS,eyesopen
